,rmse_score,mae_score,add_age,add_temporal_information,bucketing_lower_bound,bucketing_technique,bucketing_upper_bound,encoding_technique,kmeans_n_clusters,knn_leaf_size,knn_n_neighbors,ml_algorithm,svr_c,svr_epsilon,temporal_split_sort_by,xgb_eta,xgb_max_depth
81,0.6380781215323057,7006.850836885159,False,False,2,SingleBucket,2,LastState,,42.0,8.0,KNN,,,timesincecasestart,,
82,0.6294942195161862,11613.917683927337,True,False,4,PrefixLength,17,LastState,,36.0,12.0,KNN,,,time:timestamp,,
83,0.3983794017257406,6588.150462712966,False,False,8,Clustering,8,LastState,9.0,25.0,7.0,KNN,,,time:timestamp,,
84,0.7083338610091833,6911.499776798445,False,False,14,SingleBucket,14,Aggregation,,,,XGB,,,timesincecasestart,0.1,7.0
85,0.2158183506918989,4350.326125264784,False,False,8,PrefixLength,10,Aggregation,,,,XGB,,,timesincecasestart,0.2,6.0
86,1.3608178754586018,5771.021046789679,True,False,4,Clustering,4,Aggregation,5.0,,,XGB,,,timesincecasestart,0.6000000000000001,9.0
87,1.8043918963909804,14975.382303470578,False,True,7,SingleBucket,7,LastState,,,,XGB,,,time:timestamp,0.6000000000000001,12.0
88,1.6152795138356009,12783.557155575889,False,False,11,PrefixLength,14,LastState,,,,XGB,,,timesincecasestart,0.7000000000000001,5.0
89,0.3212212464065943,7224.228167591344,True,False,8,Clustering,8,LastState,12.0,,,XGB,,,time:timestamp,0.4,11.0
90,0.0079536203901165,761.0039722439008,False,False,14,SingleBucket,14,Aggregation,,,,SVR,1.2000000000000002,0.4,timesincecasestart,,
91,0.2508098001757643,7951.340609230349,True,False,19,PrefixLength,19,Aggregation,,,,SVR,0.8,0.1,time:timestamp,,
92,0.1959973208772429,4504.444408273729,True,True,9,Clustering,9,Aggregation,6.0,,,SVR,1.3,0.2,time:timestamp,,
93,0.307162937863877,7745.520147968339,True,False,10,SingleBucket,10,LastState,,,,SVR,0.8,0.2,time:timestamp,,
94,0.4033320834371203,7224.7979423129955,True,True,11,PrefixLength,18,LastState,,,,SVR,0.8,0.7000000000000001,timesincecasestart,,
95,0.2047132646224752,7076.92502878909,False,False,11,Clustering,11,LastState,11.0,,,SVR,0.8,0.1,time:timestamp,,
96,0.0912129059722231,4767.33389449347,True,True,15,SingleBucket,15,Aggregation,,31.0,12.0,KNN,,,time:timestamp,,
97,0.0927171371260875,2953.8290107341318,True,False,17,PrefixLength,18,Aggregation,,44.0,9.0,KNN,,,timesincecasestart,,
98,1.5308327612540764,5597.781587113718,True,True,11,Clustering,11,Aggregation,11.0,41.0,11.0,KNN,,,timesincecasestart,,
99,0.254534746881542,5822.51159986458,True,True,17,SingleBucket,17,LastState,,31.0,11.0,KNN,,,time:timestamp,,
100,0.6186727987328976,9576.76333889806,False,True,8,PrefixLength,9,LastState,,35.0,5.0,KNN,,,time:timestamp,,
101,1.2459594598357484,5242.949673151503,False,False,16,Clustering,16,LastState,8.0,41.0,13.0,KNN,,,timesincecasestart,,
102,0.1041810698012988,3376.998343326411,True,False,2,SingleBucket,2,Aggregation,,,,XGB,,,timesincecasestart,0.1,7.0
103,0.3691945131126813,8912.561045283896,False,True,7,PrefixLength,15,Aggregation,,,,XGB,,,time:timestamp,0.6000000000000001,13.0
104,1.4721239738824514,5342.008831268964,False,False,6,Clustering,6,Aggregation,12.0,,,XGB,,,timesincecasestart,0.8,7.0
105,2.893094118881384,12937.187238396116,True,True,2,SingleBucket,2,LastState,,,,XGB,,,timesincecasestart,0.7000000000000001,6.0
106,0.7694035537559297,11129.842978839826,False,False,11,PrefixLength,16,LastState,,,,XGB,,,time:timestamp,0.4,13.0
107,0.1929558926018543,7280.753894000459,False,False,4,Clustering,4,LastState,5.0,,,XGB,,,time:timestamp,0.8,5.0
108,0.0281018599733897,2515.097460580652,True,False,4,SingleBucket,4,Aggregation,,,,SVR,1.1,0.8,time:timestamp,,
109,0.0471862883928065,3711.690660067232,False,False,6,PrefixLength,12,Aggregation,,,,SVR,1.5,0.9,time:timestamp,,
110,0.0260587329829682,2375.27189693789,False,False,19,Clustering,19,Aggregation,7.0,,,SVR,1.0,0.6000000000000001,time:timestamp,,
111,0.2968822620565077,5536.930221884821,False,True,7,SingleBucket,7,LastState,,,,SVR,0.6000000000000001,0.1,timesincecasestart,,
112,0.2579403388766828,6986.832013777698,True,False,13,PrefixLength,14,LastState,,,,SVR,0.8,0.8,time:timestamp,,
113,1.772467279144144,6783.37166021993,False,True,7,Clustering,7,LastState,12.0,,,SVR,0.9,0.30000000000000004,timesincecasestart,,
114,0.1285186845873683,3632.808945630948,False,False,14,SingleBucket,14,Aggregation,,31.0,8.0,KNN,,,timesincecasestart,,
115,0.1514535859119362,6251.882041975078,False,False,9,PrefixLength,17,Aggregation,,28.0,13.0,KNN,,,time:timestamp,,
116,1.5849036403470065,6682.233061681574,False,False,12,Clustering,12,Aggregation,8.0,39.0,5.0,KNN,,,timesincecasestart,,
117,0.2036516933584151,6698.43171808516,True,True,3,SingleBucket,3,LastState,,42.0,6.0,KNN,,,time:timestamp,,
118,0.3097322505511323,6931.52892090574,True,True,17,PrefixLength,19,LastState,,43.0,5.0,KNN,,,time:timestamp,,
119,1.7835085652204985,8020.068477990376,True,False,5,Clustering,5,LastState,11.0,37.0,13.0,KNN,,,timesincecasestart,,
120,0.5880104459045686,6994.580632838299,True,True,10,SingleBucket,10,Aggregation,,,,XGB,,,timesincecasestart,0.30000000000000004,7.0
121,0.5520393940430032,7150.805441419293,False,True,17,PrefixLength,18,Aggregation,,,,XGB,,,timesincecasestart,0.4,11.0
122,2.0538710706802563,11043.050882005717,True,False,13,Clustering,13,Aggregation,9.0,,,XGB,,,timesincecasestart,0.9,6.0
123,1.9953506018630711,13309.0900931771,True,False,6,SingleBucket,6,LastState,,,,XGB,,,time:timestamp,0.6000000000000001,12.0
124,1.428076682229809,11952.626576239993,False,False,19,PrefixLength,19,LastState,,,,XGB,,,time:timestamp,0.5,14.0
125,2.110954977719175,9681.111271508538,True,False,19,Clustering,19,LastState,12.0,,,XGB,,,timesincecasestart,0.2,9.0
126,0.1018337215270051,3381.5087299192232,True,True,9,SingleBucket,9,Aggregation,,,,SVR,1.0,0.8,timesincecasestart,,
127,0.1278503039430967,4327.875454985088,True,True,10,PrefixLength,15,Aggregation,,,,SVR,0.7000000000000001,1.0,timesincecasestart,,
128,0.854391128084104,3686.1785169533614,True,True,17,Clustering,17,Aggregation,8.0,,,SVR,0.6000000000000001,0.7000000000000001,timesincecasestart,,
129,0.5969011341567633,10917.862871120107,True,False,4,SingleBucket,4,LastState,,,,SVR,1.1,0.2,time:timestamp,,
130,0.3272393065899384,8444.460888667982,True,True,2,PrefixLength,5,LastState,,,,SVR,1.1,0.4,time:timestamp,,
131,1.6621706897932271,8214.02436800908,False,False,8,Clustering,8,LastState,11.0,,,SVR,0.9,0.2,timesincecasestart,,
132,0.1024119915900653,3106.347541188179,False,True,4,SingleBucket,4,Aggregation,,29.0,10.0,KNN,,,timesincecasestart,,
133,0.0846551839402838,4518.19857529123,True,True,15,PrefixLength,17,Aggregation,,41.0,13.0,KNN,,,time:timestamp,,
134,0.3849810011110224,5518.435259256443,True,True,5,Clustering,5,Aggregation,5.0,33.0,7.0,KNN,,,time:timestamp,,
135,0.5033601252102957,10622.229720542946,False,False,19,SingleBucket,19,LastState,,31.0,6.0,KNN,,,time:timestamp,,
136,0.2350616046674996,5556.185146235514,True,True,13,PrefixLength,18,LastState,,43.0,13.0,KNN,,,time:timestamp,,
137,1.2131018263126438,4731.264210800818,False,True,16,Clustering,16,LastState,11.0,38.0,12.0,KNN,,,timesincecasestart,,
138,0.5972172304576385,6770.677612794657,True,False,15,SingleBucket,15,Aggregation,,,,XGB,,,timesincecasestart,0.5,14.0
139,0.7387410207740305,8030.024678403803,True,False,9,PrefixLength,18,Aggregation,,,,XGB,,,timesincecasestart,0.6000000000000001,8.0
140,0.3284558896407771,8684.634400331011,False,False,16,Clustering,16,Aggregation,9.0,,,XGB,,,time:timestamp,0.8,12.0
141,1.170754072719816,12628.448417399512,True,False,15,SingleBucket,15,LastState,,,,XGB,,,time:timestamp,0.6000000000000001,10.0
142,4.358525159885248,13511.9590060749,False,True,17,PrefixLength,17,LastState,,,,XGB,,,timesincecasestart,0.30000000000000004,6.0
143,1.276582526644462,10213.430440155988,True,False,18,Clustering,18,LastState,5.0,,,XGB,,,timesincecasestart,0.1,7.0
144,0.1424700065967232,5492.488168195039,True,True,14,SingleBucket,14,Aggregation,,,,SVR,0.6000000000000001,0.4,time:timestamp,,
145,0.0086250495730012,1366.2012176979422,False,False,4,PrefixLength,10,Aggregation,,,,SVR,1.2000000000000002,0.7000000000000001,time:timestamp,,
146,1.6024518312461096,7157.120302674824,False,True,13,Clustering,13,Aggregation,14.0,,,SVR,1.2000000000000002,1.0,timesincecasestart,,
147,0.6079376567759694,9377.24455589301,False,True,2,SingleBucket,2,LastState,,,,SVR,1.0,1.0,timesincecasestart,,
148,0.3332842399434886,5964.739155014573,False,True,3,PrefixLength,18,LastState,,,,SVR,0.9,0.30000000000000004,timesincecasestart,,
149,0.3014445304311067,7910.045202943087,False,True,19,Clustering,19,LastState,5.0,,,SVR,1.0,0.30000000000000004,time:timestamp,,
150,0.0649794535230643,2587.318304164139,True,False,6,SingleBucket,6,Aggregation,,28.0,8.0,KNN,,,timesincecasestart,,
151,0.2312404848590442,4193.078076627578,True,True,3,PrefixLength,5,Aggregation,,26.0,5.0,KNN,,,timesincecasestart,,
